saleDateKey,saleDate,year,month,day,weekday,quarter
448,3/23/1981,1981,3,23,2,1
449,3/24/1981,1981,3,24,3,1
450,3/25/1981,1981,3,25,4,1
451,3/26/1981,1981,3,26,5,1
452,3/27/1981,1981,3,27,6,1
453,3/28/1981,1981,3,28,7,1
454,3/29/1981,1981,3,29,1,1
455,3/30/1981,1981,3,30,2,1
456,3/31/1981,1981,3,31,3,1
457,4/1/1981,1981,4,1,4,2
458,4/2/1981,1981,4,2,5,2
459,4/3/1981,1981,4,3,6,2
460,4/4/1981,1981,4,4,7,2
461,4/5/1981,1981,4,5,1,2
462,4/6/1981,1981,4,6,2,2
463,4/7/1981,1981,4,7,3,2
464,4/8/1981,1981,4,8,4,2
465,4/9/1981,1981,4,9,5,2
466,4/10/1981,1981,4,10,6,2
467,4/11/1981,1981,4,11,7,2
468,4/12/1981,1981,4,12,1,2
469,4/13/1981,1981,4,13,2,2
470,4/14/1981,1981,4,14,3,2
471,4/15/1981,1981,4,15,4,2
472,4/16/1981,1981,4,16,5,2
473,4/17/1981,1981,4,17,6,2
474,4/18/1981,1981,4,18,7,2
475,4/19/1981,1981,4,19,1,2
476,4/20/1981,1981,4,20,2,2
477,4/21/1981,1981,4,21,3,2
478,4/22/1981,1981,4,22,4,2
479,4/23/1981,1981,4,23,5,2
480,4/24/1981,1981,4,24,6,2
481,4/25/1981,1981,4,25,7,2
482,4/26/1981,1981,4,26,1,2
483,4/27/1981,1981,4,27,2,2
484,4/28/1981,1981,4,28,3,2
485,4/29/1981,1981,4,29,4,2
486,4/30/1981,1981,4,30,5,2
487,5/1/1981,1981,5,1,6,2
488,5/2/1981,1981,5,2,7,2
489,5/3/1981,1981,5,3,1,2
490,5/4/1981,1981,5,4,2,2
491,5/5/1981,1981,5,5,3,2
492,5/6/1981,1981,5,6,4,2
493,5/7/1981,1981,5,7,5,2
494,5/8/1981,1981,5,8,6,2
495,5/9/1981,1981,5,9,7,2
496,5/10/1981,1981,5,10,1,2
497,5/11/1981,1981,5,11,2,2
498,5/12/1981,1981,5,12,3,2
499,5/13/1981,1981,5,13,4,2
500,5/14/1981,1981,5,14,5,2
501,5/15/1981,1981,5,15,6,2
502,5/16/1981,1981,5,16,7,2
503,5/17/1981,1981,5,17,1,2
504,5/18/1981,1981,5,18,2,2
505,5/19/1981,1981,5,19,3,2
506,5/20/1981,1981,5,20,4,2
507,5/21/1981,1981,5,21,5,2
508,5/22/1981,1981,5,22,6,2
509,5/23/1981,1981,5,23,7,2
510,5/24/1981,1981,5,24,1,2
511,5/25/1981,1981,5,25,2,2
512,5/26/1981,1981,5,26,3,2
513,5/27/1981,1981,5,27,4,2
514,5/28/1981,1981,5,28,5,2
515,5/29/1981,1981,5,29,6,2
516,5/30/1981,1981,5,30,7,2
517,5/31/1981,1981,5,31,1,2
518,6/1/1981,1981,6,1,2,2
519,6/2/1981,1981,6,2,3,2
520,6/3/1981,1981,6,3,4,2
521,6/4/1981,1981,6,4,5,2
522,6/5/1981,1981,6,5,6,2
523,6/6/1981,1981,6,6,7,2
524,6/7/1981,1981,6,7,1,2
525,6/8/1981,1981,6,8,2,2
526,6/9/1981,1981,6,9,3,2
527,6/10/1981,1981,6,10,4,2
528,6/11/1981,1981,6,11,5,2
529,6/12/1981,1981,6,12,6,2
530,6/13/1981,1981,6,13,7,2
531,6/14/1981,1981,6,14,1,2
532,6/15/1981,1981,6,15,2,2
533,6/16/1981,1981,6,16,3,2
534,6/17/1981,1981,6,17,4,2
535,6/18/1981,1981,6,18,5,2
536,6/19/1981,1981,6,19,6,2
537,6/20/1981,1981,6,20,7,2
538,6/21/1981,1981,6,21,1,2
539,6/22/1981,1981,6,22,2,2
540,6/23/1981,1981,6,23,3,2
541,6/24/1981,1981,6,24,4,2
542,6/25/1981,1981,6,25,5,2
543,6/26/1981,1981,6,26,6,2
544,6/27/1981,1981,6,27,7,2
545,6/28/1981,1981,6,28,1,2
546,6/29/1981,1981,6,29,2,2
547,6/30/1981,1981,6,30,3,2
548,7/1/1981,1981,7,1,4,3
549,7/2/1981,1981,7,2,5,3
550,7/3/1981,1981,7,3,6,3
551,7/4/1981,1981,7,4,7,3
552,7/5/1981,1981,7,5,1,3
553,7/6/1981,1981,7,6,2,3
554,7/7/1981,1981,7,7,3,3
555,7/8/1981,1981,7,8,4,3
556,7/9/1981,1981,7,9,5,3
557,7/10/1981,1981,7,10,6,3
558,7/11/1981,1981,7,11,7,3
559,7/12/1981,1981,7,12,1,3
560,7/13/1981,1981,7,13,2,3
561,7/14/1981,1981,7,14,3,3
562,7/15/1981,1981,7,15,4,3
563,7/16/1981,1981,7,16,5,3
564,7/17/1981,1981,7,17,6,3
565,7/18/1981,1981,7,18,7,3
566,7/19/1981,1981,7,19,1,3
567,7/20/1981,1981,7,20,2,3
568,7/21/1981,1981,7,21,3,3
569,7/22/1981,1981,7,22,4,3
570,7/23/1981,1981,7,23,5,3
571,7/24/1981,1981,7,24,6,3
572,7/25/1981,1981,7,25,7,3
573,7/26/1981,1981,7,26,1,3
574,7/27/1981,1981,7,27,2,3
575,7/28/1981,1981,7,28,3,3
576,7/29/1981,1981,7,29,4,3
577,7/30/1981,1981,7,30,5,3
578,7/31/1981,1981,7,31,6,3
579,8/1/1981,1981,8,1,7,3
580,8/2/1981,1981,8,2,1,3
581,8/3/1981,1981,8,3,2,3
582,8/4/1981,1981,8,4,3,3
583,8/5/1981,1981,8,5,4,3
584,8/6/1981,1981,8,6,5,3
585,8/7/1981,1981,8,7,6,3
586,8/8/1981,1981,8,8,7,3
587,8/9/1981,1981,8,9,1,3
588,8/10/1981,1981,8,10,2,3
589,8/11/1981,1981,8,11,3,3
590,8/12/1981,1981,8,12,4,3
591,8/13/1981,1981,8,13,5,3
592,8/14/1981,1981,8,14,6,3
593,8/15/1981,1981,8,15,7,3
594,8/16/1981,1981,8,16,1,3
595,8/17/1981,1981,8,17,2,3
596,8/18/1981,1981,8,18,3,3
597,8/19/1981,1981,8,19,4,3
598,8/20/1981,1981,8,20,5,3
599,8/21/1981,1981,8,21,6,3
600,8/22/1981,1981,8,22,7,3
601,8/23/1981,1981,8,23,1,3
602,8/24/1981,1981,8,24,2,3
603,8/25/1981,1981,8,25,3,3
604,8/26/1981,1981,8,26,4,3
605,8/27/1981,1981,8,27,5,3
606,8/28/1981,1981,8,28,6,3
607,8/29/1981,1981,8,29,7,3
608,8/30/1981,1981,8,30,1,3
609,8/31/1981,1981,8,31,2,3
610,9/1/1981,1981,9,1,3,3
611,9/2/1981,1981,9,2,4,3
612,9/3/1981,1981,9,3,5,3
613,9/4/1981,1981,9,4,6,3
614,9/5/1981,1981,9,5,7,3
615,9/6/1981,1981,9,6,1,3
616,9/7/1981,1981,9,7,2,3
617,9/8/1981,1981,9,8,3,3
618,9/9/1981,1981,9,9,4,3
619,9/10/1981,1981,9,10,5,3
620,9/11/1981,1981,9,11,6,3
621,9/12/1981,1981,9,12,7,3
622,9/13/1981,1981,9,13,1,3
623,9/14/1981,1981,9,14,2,3
624,9/15/1981,1981,9,15,3,3
625,9/16/1981,1981,9,16,4,3
626,9/17/1981,1981,9,17,5,3
627,9/18/1981,1981,9,18,6,3
628,9/19/1981,1981,9,19,7,3
629,9/20/1981,1981,9,20,1,3
630,9/21/1981,1981,9,21,2,3
631,9/22/1981,1981,9,22,3,3
632,9/23/1981,1981,9,23,4,3
633,9/24/1981,1981,9,24,5,3
634,9/25/1981,1981,9,25,6,3
635,9/26/1981,1981,9,26,7,3
636,9/27/1981,1981,9,27,1,3
